N0,N173,N321,N412,N532,N610,N758,N804,N1144,N1207,N1239,N1450,N1630,N1674,N1685,N1779,N1807,N1829,N1834,N1882,N1904,N1909,N1926,N1928,N1962,N2020,N2111,N2121,N2276,N2288,N2354,N2363,N2381,N2408,N2497,N2597,N2626,N2641,N2833,N2855,N3070,N3172,N3179,N3183,N3252,N3344,N3507,N4149,N4242,N4377,N4389,N4438,N4480,N4847,N5022,N5039,N5122,N5593,N5625,N5675,N5772,N5849,N6041,N6049,N6064,N6167,N6169,N6218,N6277,N6281,N6283,N6347,N6477,N6539,N6584,N6596,N6623,N6768,N6854,N6973,[Factor_0]
ALL,0.398856969,0.773558312,1.691422873,1.839867939,0.427964133,1.896209187,1.787087104,0.877126355,0.819431396,1.797601718,-4.30E-01,1.042680339,2.175436537,2.032711899,-9.15E-01,-7.36E-01,1.229285474,-3.47E-01,-2.65E-01,-2.07E-01,1.641395286,-6.34E-01,1.622093734,2.036892439,0.783078276,1.056095922,1.683392883,-3.38E-01,-1.27E+00,2.083868681,0.528924386,1.027063599,1.161062469,0.968919781,2.090075419,-3.19E-01,1.129227025,-5.80E-02,0.589153703,0.57043505,-8.20E-01,-3.38E-01,1.587683286,-7.94E-01,2.074706478,0.597749616,-1.11E+00,2.014994971,0.808657289,0.362188209,1.712370309,1.304178246,-4.10E-01,1.178486052,0.322664842,1.35436266,0.983643021,1.449688292,-8.07E-01,1.832279397,0.381592887,0.61720127,1.484761713,0.962753578,0.914146939,0.411452674,0.279432371,-3.19E-01,0.925418592,1.287891599,1.056095922,0.748894815,-4.96E-01,0.983643021,0.836521563,0.686790278,0.339751008,1.389504221,0.655083363,Cluster 1
ALL,0.779500014,0.149461473,1.280273766,1.938173588,0.600063345,1.891981263,1.678338864,0.774507146,1.231158924,1.759974563,0.279066781,1.315788037,2.068693738,1.646147073,1.352166478,-3.01E-01,1.145677199,0.16583796,0.561973874,-7.62E-01,1.493284988,-2.41E-01,1.515635892,2.051090845,0.801607231,1.421122171,1.518413917,-3.23E-01,-1.83E+00,1.692894647,0.235993041,1.240212246,1.429862986,0.946945181,1.986379845,-3.72E-01,0.762696279,-5.77E-01,0.442071636,-1.54E+00,-3.12E-01,0.695944257,1.231158924,-2.12E-01,1.855370942,0.48237256,-6.57E-01,1.952163615,0.919231553,0.497437412,1.257466798,1.949805325,-2.12E-01,1.218503532,0.048893275,1.543960757,1.193403308,1.019644018,-1.12E+00,1.766631617,0.740543292,0.487315864,1.913469028,0.0415019,1.917874343,0.566508976,1.140608632,-6.57E-01,0.779500014,1.713895591,1.298030376,0.477046995,0.366885287,0.900877892,0.942276025,-1.46E-01,-7.95E-02,1.537049838,0.61358953,Cluster 1
ALL,0.389356828,0.637320043,1.570556959,1.788825846,0.514220596,0.553142961,1.695849243,1.406790874,1.382155917,1.956913034,-3.40E-01,1.425478965,2.083868681,1.590168246,-1.33E+00,0.458610023,0.255562497,0.085545473,-9.01E-01,-8.70E-01,1.80831891,-3.97E-01,1.194837894,1.900471281,0.553142961,1.538770685,1.463912555,-1.04E+00,-8.25E-01,1.568147632,0.229129313,0.968919781,1.372172259,-5.67E-01,1.877443844,-1.39E+00,0.689909522,-1.38E-01,1.161752652,0.149105923,0.302542234,-1.14E-01,1.573581498,-6.48E-01,2.146391298,0.302542234,-9.41E-01,1.954532813,1.043589073,0.39239301,1.257466798,1.634002235,0.865050993,1.199156479,0.707864645,1.441193273,1.473215473,0.479215028,-7.88E-01,0.543335853,0.410878739,0.270303676,2.080795173,-1.38E+00,1.783625741,0.097903782,-1.78E-01,-4.16E-01,0.357499109,1.433783096,0.631515152,0.604489413,0.259197011,0.956345992,1.15968376,0.434137596,0.222817002,1.199156479,0.129932992,Cluster 1
ALL,-3.34E-02,0.457048181,1.555645566,2.080795173,0.443041099,1.611698181,1.947457828,1.134230212,0.958570253,1.891981263,-6.03E-02,0.855886437,2.088516179,1.396462066,0.467416399,0.518036792,0.376870071,0.295739784,0.695048627,-8.92E-01,1.69733211,-4.19E-01,1.906929885,2.014994971,0.932998792,1.628681041,0.822632888,-3.68E-01,-7.27E-01,1.689222059,0.299598934,0.903254577,1.452711656,-2.93E-01,1.933593424,-1.19E+00,0.746105195,0.381781976,1.243252714,-1.17E+00,-8.31E-01,-1.89E-01,1.606565068,-1.31E-01,2.202448981,0.257924544,-7.03E-01,2.083868681,1.401138452,0.370083923,1.040563299,1.675469994,0.647259699,0.94556976,1.027063599,1.180601024,1.672614847,0.319148046,-1.35E+00,1.413442694,0.495051321,0.675262432,1.776766432,-1.03E+00,1.718495524,0.325073369,0.090663651,-2.41E-01,0.746105195,1.38352804,0.698634505,0.673717471,0.723764597,0.349265273,1.196634593,0.628727788,-7.27E-01,1.409634019,-2.97E-02,Cluster 1
ALL,0.745176611,-2.19E-01,1.759974563,2.080795173,0.452758845,1.991462406,1.847563935,1.156246595,1.042074994,1.942794775,-1.18E+00,1.164518934,2.025822289,1.898335924,-1.96E-01,-1.44E-02,1.049364522,-2.50E-01,0.061394506,-3.50E-01,1.419194448,-5.63E-01,1.720036946,2.139405257,0.952464876,1.324613184,1.312452886,0.768352117,-9.49E-02,1.917874343,1.633334553,1.070951292,1.04449867,1.655763742,1.988914703,0.075139398,0.858933271,0.192457412,1.264083584,-6.29E-01,-6.53E-02,0.300518435,1.315370342,-6.52E-01,2.068693738,0.734543632,-7.46E-01,2.135951027,1.183429227,0.523472833,1.427911143,0.37932488,1.410108985,0.623594667,0.786906173,1.209321155,1.122269687,1.215554015,-2.11E-01,2.020379024,0.331938796,1.073450238,-1.75E+00,-1.30E+00,0.63882852,-5.82E-02,-4.08E-01,0.261015549,0.723079433,1.232660801,1.105595429,0.775456677,1.373525618,0.340496103,0.869917245,1.163826529,0.084133962,1.746889696,-2.86E-01,Cluster 1
ALL,-1.04E+00,0.765521137,1.513974676,1.966546496,0.567128301,1.940479001,1.882590193,0.875319814,0.922993369,1.920091031,0.019867277,1.213715925,2.139405257,1.836060452,0.885161423,0.41873434,0.567128301,0.243773341,-1.45E+00,-7.10E-01,1.875399154,-7.90E-01,1.360103523,2.077741197,0.754959087,1.37533402,1.477391336,0.245947203,-5.78E-01,2.042522464,1.117333229,0.896402423,1.430840953,1.115693782,1.976365996,0.181722825,0.853353466,0.108154782,1.146355234,0.009141989,-2.27E-01,-1.27E+00,1.639370103,-4.83E-01,2.142885205,0.815012375,-9.77E-01,2.068693738,1.429862986,0.728341073,1.47113714,0.989362894,0.479806701,0.762696279,0.473897487,1.190184435,1.161752652,0.867609617,-1.38E+00,1.853408582,0.39505264,0.900877892,1.869311679,0.432206622,1.851453333,0.651383887,0.574992047,-8.48E-01,0.699981527,1.262131732,1.258242387,0.982787813,0.362000493,0.283090337,1.10139402,0.825842833,-6.25E-02,1.388120699,0.001582246,Cluster 1
ALL,-7.32E-02,0.78188441,1.738861118,1.933593424,0.39201329,0.163164961,2.048217985,0.88880895,1.275500531,1.88778689,-7.83E-01,1.238696303,2.325244047,-7.94E-01,-1.25E+00,0.374983302,0.895614498,0.44032765,1.626037648,-3.08E-01,0.833034342,-7.07E-01,1.662027683,1.891981263,1.030645156,1.712370309,1.735680839,-1.40E-01,0.163164961,1.698818719,0.806708443,0.718520314,1.679778495,-1.55E+00,1.900471281,-1.09E+00,0.94556976,0.689686497,0.60238029,-9.42E-01,-1.14E+00,-2.02E-01,1.423055189,-3.40E-01,1.966546496,0.519243473,0.321924134,1.964121002,1.51121523,0.334168769,0.875835677,0.173685672,1.691422873,0.806708443,0.863008165,1.316624115,1.412488604,0.88880895,-9.13E-01,1.434766574,0.697064581,1.522883284,1.407737325,-1.08E+00,0.655519184,0.317853381,-7.56E-01,-6.99E-01,0.313049267,1.350414216,0.697064581,0.701329819,0.663166359,0.677693491,1.050279639,0.513217579,-7.83E-01,1.259018733,-1.16E+00,Cluster 1
ALL,-1.09E-01,0.046605202,1.565747373,2.129118055,0.515023382,1.596423985,1.847563935,0.801364837,1.012867237,1.850478357,-2.63E-01,0.559710656,2.099539239,1.628681041,1.797601718,0.334354675,0.72582213,0.223718211,0.696168252,-6.39E-01,1.094008009,-1.76E-01,1.811937904,2.017679686,1.197714469,1.477391336,1.184137758,-8.21E-01,-9.95E-01,1.956913034,0.410113702,1.468548127,0.979090189,1.659932461,1.924552925,-8.21E-01,0.425075941,-4.32E-01,0.46937828,-7.90E-01,-4.15E-01,-1.10E+00,1.810125444,-3.85E-01,1.981348085,0.297760691,-6.68E-01,2.146391298,1.079097522,0.520853559,1.197714469,1.25282907,1.271150452,0.905901337,0.458024202,1.407737325,1.299256024,1.351289828,-1.02E+00,1.488477344,0.508610326,1.075328856,-8.67E-01,-1.48E-01,1.423539276,0.37064878,1.764126054,-5.28E-01,0.835524177,1.124582752,0.92595827,0.63882852,0.696168252,0.867609617,0.194427791,0.23960998,-3.52E-01,1.229285474,0.306040811,Cluster 1
ALL,-1.28E+00,0.551095453,1.47425703,2.105954509,0.500025545,1.947457828,1.911280224,1.513421864,1.363658759,1.817411298,0.112576761,1.300074208,2.071690746,2.012324701,0.43510369,-3.40E-01,0.305488156,0.335656341,0.87145824,-1.72E-01,1.335255683,-4.69E-01,1.88987992,2.142885205,1.001771592,1.447680054,1.659932461,-9.51E-01,-5.57E-01,1.815580785,-2.96E-01,1.421604928,1.787087104,0.675925052,1.999184069,-1.17E+00,0.556834335,0.024615191,0.746802055,0.088016029,-3.71E-01,-1.53E+00,1.738861118,0.10408843,2.014994971,0.266658538,-9.51E-01,2.096363735,0.619542574,0.261197451,1.190898674,1.822014415,0.088016029,0.797492909,0.317483575,1.622093734,1.572975439,1.074702229,-8.79E-01,1.743664769,0.883082401,0.666236095,1.239453918,-8.69E-01,1.188045353,-1.48E-01,1.287086201,-1.39E+00,0.178863853,1.498667615,1.156246595,0.353753485,0.638181852,0.513418141,0.343105429,0.203214222,-8.38E-01,1.484232579,0.949701412,Cluster 1
ALL,0.4271936,0.771425979,1.7750646,1.871333139,0.449255577,2.157070904,1.780185617,1.156246595,0.4271936,1.798486957,-1.83E-01,0.642065876,2.074706478,2.122383069,1.783625741,-1.43E+00,0.696392282,0.124793121,0.330267399,-5.17E-02,0.751923494,0.070380076,1.790570012,2.031326247,0.537639141,1.615576072,1.773367894,-1.14E+00,-7.56E-01,2.129118055,1.00293374,1.132559333,1.302123486,0.381025702,2.105954509,-8.22E-01,0.358998761,0.14377491,-2.97E-02,0.413366772,-1.56E-01,-2.25E-01,1.33012848,-2.97E-01,1.981348085,0.296841947,-8.22E-01,2.09320923,0.932184067,-3.40E-01,1.753394604,1.764960011,0.748662124,1.079097522,0.035344171,1.276691114,1.308304369,1.465454248,-2.81E+00,1.997888832,0.777833571,0.686790278,-1.00E+00,-8.79E-01,0.738694412,0.26228904,2.182992933,-1.21E+00,1.032740517,1.51452795,1.429374514,0.71148303,0.755192883,1.094327899,0.583933618,0.637320043,0.44052136,1.391353065,0.462519537,Cluster 1
AML,0.992522665,0.837769466,1.206404236,1.828524357,0.247578363,-3.32E-01,1.087633562,0.668652442,0.62787112,1.730943085,-5.76E-01,0.90643145,2.851712871,-4.49E-01,1.158651173,0.770006369,1.815580785,1.497587615,2.425444296,-1.06E+00,0.407246947,-4.38E-01,1.175323444,1.809221439,1.190541479,1.795835455,2.186818365,-1.33E+00,2.023093163,1.43133045,1.524005392,1.004970765,0.72788274,-1.21E+00,1.350414216,-3.61E-01,0.256470807,-1.84E-01,0.423921658,-6.73E-01,-1.10E+00,-1.99E+00,1.684844815,1.247835084,1.922317194,0.2184937,-4.49E-01,2.149923976,1.738861118,-1.76E-02,1.324190596,0.919499823,1.61947841,1.025575166,0.891421582,1.600207622,-5.64E-01,0.129046566,-3.80E-01,0.837769466,0.783556135,1.769989716,-2.26E+00,-1.08E+00,0.599642428,0.567747843,0.317298688,0.714202943,0.578313737,0.429505961,0.300150604,0.101790823,1.332260559,1.134564768,0.24015279,0.089075003,-1.15E+00,0.286752094,-6.73E-01,Cluster 2
AML,1.180601024,0.648994853,1.134899451,1.837960865,0.245222454,-5.79E-01,1.810125444,-1.89E-01,0.797976245,1.406790874,0.389925838,-1.55E-01,2.716742391,-1.38E-01,2.065715198,0.282358442,1.055482,0.845284475,2.761641597,-9.41E-01,0.760346871,0.360499221,1.197714469,1.811937904,1.306238527,1.743664769,1.906929885,-9.99E-01,2.567622325,1.059479633,0.816238282,0.980510766,0.833283093,-1.39E+00,1.971432485,-8.05E-01,0.844028665,-6.49E-01,0.229851297,-1.30E+00,-1.26E+00,-1.30E+00,1.716191018,1.161407491,1.815580785,-1.52E-01,-4.68E-02,2.023093163,1.877443844,-1.81E-01,0.30677783,0.745872989,1.792319642,0.961915566,1.830398651,1.643427223,1.028255986,0.640122657,-1.10E+00,1.622093734,0.623167649,1.712370309,-1.78E+00,-8.16E-01,0.742163141,0.816238282,2.160686092,-5.53E-01,-4.22E-02,1.234542066,-8.13E-01,0.299415064,0.850825957,1.4537224,0.599221618,0.101790823,-1.05E+00,0.404765132,-8.10E-01,Cluster 2
AML,0.801849672,0.776169285,1.049669463,1.751761419,0.489296518,-2.84E-01,0.82238632,-2.74E-01,0.54272465,1.668357525,0.028484268,0.71352247,2.352330447,-1.54E-01,2.175436537,0.548845859,1.550946213,0.903254577,1.792319642,-9.35E-01,0.668432613,0.456267679,1.321239085,1.622749302,1.421122171,1.694370096,1.802934429,-4.52E-01,2.171704442,0.892730182,1.447178906,0.997714685,0.842523448,-1.34E+00,1.813756336,-1.22E+00,0.595229193,-1.37E+00,0.350947523,-1.73E+00,-8.40E-01,-1.79E+00,1.634670646,1.397861773,1.799373607,0.261015549,0.583099883,2.012324701,1.566946374,-5.34E-01,0.051709717,0.2421437,1.727024426,1.189827543,0.997714685,1.582742569,0.982502904,0.355063886,0.222636782,0.604067374,0.789784679,1.506823906,-2.14E+00,-1.58E+00,0.67482085,1.041772464,2.025822289,0.55519279,-1.94E-01,1.061948153,-1.84E-01,0.232921071,1.505184626,1.352166478,0.79725131,-5.58E-02,-9.35E-01,-1.09E-02,-2.94E-01,Cluster 2
AML,1.217396222,1.209321155,1.379419453,1.632667599,0.369142756,-7.95E-01,1.022308584,0.016878085,0.637320043,1.666945114,0.644011523,0.806951881,2.851712871,-3.53E-02,2.062754871,0.493065064,1.53191442,1.098818173,2.139405257,-8.34E-01,0.567747843,0.574162616,1.180248162,1.778473426,1.510114667,1.795835455,1.947457828,-4.19E-02,1.968983615,1.357006732,1.661328465,1.061021701,0.935174428,-1.41E+00,1.845629671,-8.00E-01,0.225881857,-4.22E-01,0.451395805,-1.61E+00,-9.54E-01,-1.66E+00,1.900471281,1.414398074,1.911280224,0.107624288,0.030418963,1.976365996,1.707818205,-5.40E-01,0.535405922,0.776406908,1.929053467,1.204223264,0.959962828,1.462886689,1.013748524,0.704706145,-1.47E-01,1.264865675,0.945294891,1.766631617,-1.65E+00,-1.72E+00,0.611468713,0.747499278,0.838768728,0.578105945,-2.25E-01,0.747499278,0.097020572,0.423537023,1.49704827,1.366336541,0.897716871,0.121958749,-7.15E-01,0.198908746,-6.51E-02,Cluster 2
AML,-9.14E-01,0.134011877,0.80987688,2.068693738,0.474684422,-2.99E-02,0.932455573,0.498830607,0.671953767,1.75503248,-6.30E-02,0.333425261,1.456255781,-1.47E+00,2.74605302,0.439165736,1.370371681,0.863263321,2.149923976,-9.77E-01,0.538045468,0.061218371,1.7750646,1.88987992,1.528513125,1.746081761,1.973893235,-9.29E-01,1.871333139,0.859950656,1.618826307,1.086998545,0.888026343,-1.41E+00,1.945121015,-9.73E-01,0.609138985,-6.32E-01,0.492469566,-4.62E-01,-1.46E+00,-1.15E+00,1.90261534,0.878935764,1.596423985,0.374606108,-6.40E-01,2.059812512,1.627357923,0.309912025,0.890898569,0.538045468,1.873362276,1.022605095,0.656827396,1.56216381,0.87506197,1.152139944,-1.37E+00,1.720036946,0.888026343,1.954532813,-2.11E+00,-7.29E-01,-7.13E-01,-8.44E-03,2.702919731,-6.98E-01,0.805978415,0.979942298,1.061639235,0.293903644,1.53191442,0.952464876,0.710351286,0.419502118,-7.05E-01,0.361625098,-6.08E-01,Cluster 2
